life_exp,population,income,illiteracy,murder,hs_grad,frost,area
69.05,3615,3624,2.1,15.1,41.3,20,50708
69.31,365,6315,1.5,11.3,66.7,152,566432
70.55,2212,4530,1.8,7.8,58.1,15,113417
70.66,2110,3378,1.9,10.1,39.9,65,51945
71.71,21198,5114,1.1,10.3,62.6,20,156361
72.06,2541,4884,0.7,6.8,63.9,166,103766
72.48,3100,5348,1.1,3.1,56,139,4862
70.06,579,4809,0.9,6.2,54.6,103,1982
70.66,8277,4815,1.3,10.7,52.6,11,54090
68.54,4931,4091,2,13.9,40.6,60,58073
73.6,868,4963,1.9,6.2,61.9,0,6425
71.87,813,4119,0.6,5.3,59.5,126,82677
70.14,11197,5107,0.9,10.3,52.6,127,55748
70.88,5313,4458,0.7,7.1,52.9,122,36097
72.56,2861,4628,0.5,2.3,59,140,55941
72.58,2280,4669,0.6,4.5,59.9,114,81787
70.1,3387,3712,1.6,10.6,38.5,95,39650
68.76,3806,3545,2.8,13.2,42.2,12,44930
70.39,1058,3694,0.7,2.7,54.7,161,30920
70.22,4122,5299,0.9,8.5,52.3,101,9891
71.83,5814,4755,1.1,3.3,58.5,103,7826
70.63,9111,4751,0.9,11.1,52.8,125,56817
72.96,3921,4675,0.6,2.3,57.6,160,79289
68.09,2341,3098,2.4,12.5,41,50,47296
70.69,4767,4254,0.8,9.3,48.8,108,68995
70.56,746,4347,0.6,5,59.2,155,145587
72.6,1544,4508,0.6,2.9,59.3,139,76483
69.03,590,5149,0.5,11.5,65.2,188,109889
71.23,812,4281,0.7,3.3,57.6,174,9027
70.93,7333,5237,1.1,5.2,52.5,115,7521
70.32,1144,3601,2.2,9.7,55.2,120,121412
70.55,18076,4903,1.4,10.9,52.7,82,47831
69.21,5441,3875,1.8,11.1,38.5,80,48798
72.78,637,5087,0.8,1.4,50.3,186,69273
70.82,10735,4561,0.8,7.4,53.2,124,40975
71.42,2715,3983,1.1,6.4,51.6,82,68782
72.13,2284,4660,0.6,4.2,60,44,96184
70.43,11860,4449,1,6.1,50.2,126,44966
71.9,931,4558,1.3,2.4,46.4,127,1049
67.96,2816,3635,2.3,11.6,37.8,65,30225
72.08,681,4167,0.5,1.7,53.3,172,75955
70.11,4173,3821,1.7,11,41.8,70,41328
70.9,12237,4188,2.2,12.2,47.4,35,262134
72.9,1203,4022,0.6,4.5,67.3,137,82096
71.64,472,3907,0.6,5.5,57.1,168,9267
70.08,4981,4701,1.4,9.5,47.8,85,39780
71.72,3559,4864,0.6,4.3,63.5,32,66570
69.48,1799,3617,1.4,6.7,41.6,100,24070
72.48,4589,4468,0.7,3,54.5,149,54464
70.29,376,4566,0.6,6.9,62.9,173,97203
